num_acidente,chv_localidade,data_acidente,uf_acidente,ano_acidente,mes_acidente,mes_ano_acidente,codigo_ibge,dia_semana,fase_dia,tp_acidente,cond_meteorologica,end_acidente,num_end_acidente,cep_acidente,bairro_acidente,km_via_acidente,latitude_acidente,longitude_acidente,hora_acidente,tp_rodovia,cond_pista,tp_cruzamento,tp_pavimento,tp_curva,lim_velocidade,tp_pista,ind_guardrail,ind_cantcentral,ind_acostamento,qtde_acidente,qtde_acid_com_obitos,qtde_envolvidos,qtde_feridosilesos,qtde_obitos,grupo,ano,mes
4622472,MG3113404202310,2023-10-09,MG,2023,10,102023,3113404,SEGUNDA-FEIRA,MANHA,CAPOTAMENTO,CLARO,DOS BIAS  ESTRADA DE ACESSO AO PRESIDIO,0,0,,0,-19.8158889,-42.1348889,93000,NAO INFORMADO,SECA,MESMA SUPERFICIE  OUTROS,ASFALTO,CURVA ABERTA,NAO INFORMADO,SIMPLES  SEM CICLOVIA,NAO INFORMADO,NAO,NAO,1,0,2,2,0,Com Feridos,2023,10
4259631,MG3118601202107,2021-07-21,MG,2021,7,72021,3118601,QUARTA-FEIRA,NOITE,COLISAO TRASEIRA,CLARO,GERALDO ROCHA,506,0,,0,-19.8684168,-44.0317563,231854,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO,NAO,1,0,3,3,0,Com Feridos,2021,7
5473328,MG3170206201904,2019-04-08,MG,2019,4,42019,3170206,SEGUNDA-FEIRA,TARDE,CHOQUE,NAO INFORMADO,FLORIANO PEIXOTO,0,0,,0,,,161000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2019,4
4340027,MG3118601202209,2022-09-04,MG,2022,9,92022,3118601,DOMINGO,MADRUGADA,OUTROS ACIDENTES DE TRANSITO,CLARO,CORONEL BENJAMIN GUIMARAES,901,0,INDUSTRIAL,0,-19.9742168,-44.0342583,42858,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,SIM,NAO,1,0,2,2,0,Com Feridos,2022,9
3396649,GO5208707201904,2019-04-01,GO,2019,4,42019,5208707,SEGUNDA-FEIRA,TARDE,DESCONHECIDO,OUTRAS CONDICOES,BR 060,0,0,CHACARAS ANHANGUERA,0,,,160000,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,0,0,0,Total Geral,2019,4
1250839,PR4119905202105,2021-05-08,PR,2021,5,52021,4119905,SABADO,TARDE,ATROPELAMENTO COM PEDESTRE,DESCONHECIDAS,RUA FRANCISCO MANOEL DA SILVA,0,0,UVARANAS,0,,,160000,MUNICIPAL,NAO INFORMADO,CRUZAMENTO  MESMA SUPERFICIE,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,1,0,2,2,0,Com Feridos,2021,5
352612,PA1503457202111,2021-11-02,PA,2021,11,112021,1503457,TERCA-FEIRA,NOITE,QUEDA,CLARO,CENTRAL  RUA,0,0,CENTRO,0,,,190000,MUNICIPAL,SECA,NAO FOI EM CRUZAMENTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2021,11
4588435,PR4118402202207,2022-07-20,PR,2022,7,72022,4118402,QUARTA-FEIRA,NOITE,NAO INFORMADO,CLARO,AVENIDA HONORATO TERTO RODRIGUES,240,0,DISTRITO SUMARE  SUMARE ,0,,,183000,MUNICIPAL,SECA,CRUZAMENTO  MESMA SUPERFICIE,ASFALTO,DESCONHECIDO,NAO INFORMADO,SIMPLES  COM CICLOVIA,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2022,7
2117983,MG3106200202102,2021-02-22,MG,2021,2,22021,3106200,SEGUNDA-FEIRA,NOITE,COLISAO FRONTAL,NAO INFORMADO,AMAZONAS,0,0,,9248,,,181000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2021,2
1814345,AC1200401201910,2019-10-11,AC,2019,10,102019,1200401,SEXTA-FEIRA,TARDE,OUTROS ACIDENTES DE TRANSITO,CLARO,RUA BELEM,0,0,NOVA ESTACAO,0,,,145400,NAO INFORMADO,SECA,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2019,10
6086747,SC4205407202110,2021-10-27,SC,2021,10,102021,4205407,QUARTA-FEIRA,TARDE,COLISAO,NAO INFORMADO,AVENIDA JORNALISTA RUBENS DE ARRUDA RAMO,0,0,,0,,,133000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2021,10
83911,SP3518800202010,2020-10-03,SP,2020,10,102020,3518800,SABADO,MADRUGADA,DESCONHECIDO,DESCONHECIDAS,RUA PEDRO DE TOLEDO,100,0,TABOAO,0,,,931,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,0,0,0,Total Geral,2020,10
272986,MG3148004202301,2023-01-16,MG,2023,1,12023,3148004,SEGUNDA-FEIRA,TARDE,DESCONHECIDO,NAO INFORMADO,UM,0,0,,0,-18.5921854,-46.5024922,121603,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2023,1
2022574,PR4106902201905,2019-05-16,PR,2019,5,52019,4106902,QUINTA-FEIRA,NOITE,COLISAO TRANSVERSAL,GAROACHUVISCO,RUA DOUTOR REYNALDO MACHADO,0,0,PRADO VELHO,0,,,180000,MUNICIPAL,MOLHADA,CRUZAMENTO  MESMA SUPERFICIE,ASFALTO,DESCONHECIDO,NAO INFORMADO,SIMPLES  COM CICLOVIA,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,1,0,3,3,0,Com Feridos,2019,5
1902492,MG3169802202009,2020-09-28,MG,2020,9,92020,3169802,SEGUNDA-FEIRA,TARDE,COLISAO FRONTAL,NAO INFORMADO,ARTUR OSCAR DE MELO,0,0,,0,,,123000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2020,9
1809003,SC4204202202111,2021-11-22,SC,2021,11,112021,4204202,SEGUNDA-FEIRA,MANHA,COLISAO,NAO INFORMADO,AVENIDA NEREU RAMOS - D,0,0,,0,,,80600,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2021,11
2410310,ES3205002202301,2023-01-02,ES,2023,1,12023,3205002,SEGUNDA-FEIRA,NOITE,OUTROS ACIDENTES DE TRANSITO,NAO INFORMADO,,0,0,JARDIM TROPICAL,0,-20.20656,-40.27476,190000,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2023,1
6402029,GO5201108201807,2018-07-10,GO,2018,7,72018,5201108,TERCA-FEIRA,TARDE,DESCONHECIDO,OUTRAS CONDICOES,AVENIDA PRINCIPAL,0,0,SETOR SUL I ETAPA,0,,,150500,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2018,7
6481594,PE2611408201812,2018-12-09,PE,2018,12,122018,2611408,DOMINGO,TARDE,NAO INFORMADO,DESCONHECIDAS,CHA DE AREIA  ZONA RURAL,0,0,,0,,,174000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2018,12
3283593,SP3548708202203,2022-03-31,SP,2022,3,32022,3548708,QUINTA-FEIRA,MANHA,COLISAO FRONTAL,CLARO,RUA CONTINENTAL,245,0,ANCHIETA,0,,,84700,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,2,2,0,Com Feridos,2022,3
1660773,GO5201405202206,2022-06-11,GO,2022,6,62022,5201405,SABADO,TARDE,COLISAO,OUTRAS CONDICOES,RUA 5  CEP 74961-070,0,0,JARDIM TIRADENTES,0,-16.8049249,-49.3240468,120000,MUNICIPAL,SECA,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2022,6
982154,PR4115705202001,2020-01-02,PR,2020,1,12020,4115705,QUINTA-FEIRA,TARDE,COLISAO TRASEIRA,DESCONHECIDAS,,0,0,BALNEARIO CAIOBA,0,,,143000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0,Com Feridos,2020,1
1685118,SP3512407202101,2021-01-01,SP,2021,1,12021,3512407,SEXTA-FEIRA,NOITE,ATROPELAMENTO COM PEDESTRE,CLARO,SP 310,158,0,RESID  FENIX,157,,,210100,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,SIM,SIM,1,1,1,0,1,Com Óbitos,2021,1
522536,MG3106200202302,2023-02-12,MG,2023,2,22023,3106200,DOMINGO,TARDE,DESCONHECIDO,NAO INFORMADO,PROFESSOR MARIO WERNECK,1300,0,BURITIS,0,-19.9677715,-43.9639093,163000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2023,2
4257611,DF5300108202306,2023-06-01,DF,2023,6,62023,5300108,QUINTA-FEIRA,NOITE,ATROPELAMENTO COM ANIMAIS,NAO INFORMADO,GERAL,88888,0,SOBRADINHO,0,-0.0,-0.0,234500,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2023,6
889268,SC4216255202302,2023-02-08,SC,2023,2,22023,4216255,QUARTA-FEIRA,TARDE,COLISAO,NAO INFORMADO,RUA SANTA CRUZ   ESQUINA COM A RUA ITAIP,0,0,,0,,,153500,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2023,2
2539084,RJ3304557201902,2019-02-18,RJ,2019,2,22019,3304557,SEGUNDA-FEIRA,MANHA,OUTROS ACIDENTES DE TRANSITO,NAO INFORMADO,ALVARES DE AZEVEDO,0,0,,0,-0.0,-0.0,100000,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2019,2
2677222,MG3118601201904,2019-04-08,MG,2019,4,42019,3118601,SEGUNDA-FEIRA,TARDE,COLISAO TRASEIRA,NAO INFORMADO,,0,0,,0,,,160809,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2019,4
4361688,SP3548500201909,2019-09-21,SP,2019,9,92019,3548500,SABADO,NOITE,DESCONHECIDO,DESCONHECIDAS,AVENIDA PRESIDENTE WILSON,136,0,JOSE MENINO,0,,,194528,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,1,1,0,Com Feridos,2019,9
4832654,SP3516200202402,2024-02-19,SP,2024,2,22024,3516200,SEGUNDA-FEIRA,MANHA,COLISAO TRASEIRA,CLARO,RUA SAO PAULO,1066,0,,0,-20.527735,-47.38149,104200,MUNICIPAL,SECA,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO,NAO INFORMADO,SIM,1,0,0,0,0,Total Geral,2024,2
3562019,GO5201405202108,2021-08-14,GO,2021,8,82021,5201405,SABADO,MADRUGADA,DESCONHECIDO,OUTRAS CONDICOES,RUA J-002  CEP 74950-170,0,0,PAPILLON PARK,0,-16.7821496,-49.2769432,53300,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2021,8
5568610,SP3523909201909,2019-09-21,SP,2019,9,92019,3523909,SABADO,TARDE,COLISAO FRONTAL,CLARO,AVENIDA SEN TEOTONIO VILELA,125,0,JARDIM AEROPORTO,0,,,133500,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,3,3,0,Com Feridos,2019,9
1067318,GO5207402202101,2021-01-12,GO,2021,1,12021,5207402,TERCA-FEIRA,MADRUGADA,DESCONHECIDO,OUTRAS CONDICOES,GO-325 KM 14,0,0,BAIRRO NAO IDENTIFICADO,0,-17.3407,-49.9292,2400,ESTADUAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2021,1
5884877,GO5201108201904,2019-04-02,GO,2019,4,42019,5201108,TERCA-FEIRA,MADRUGADA,DESCONHECIDO,OUTRAS CONDICOES,AVENIDA ANA JACINTA  CEP 75113-190,0,0,VILA SANTA MARIA DE NAZARETH,0,,,100,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2019,4
6399736,SP3549904202002,2020-02-02,SP,2020,2,22020,3549904,DOMINGO,NOITE,DESCONHECIDO,DESCONHECIDAS,AVENIDA ARTHUR ANTONIO DOS SANTOS,1,0,JARDIM ROSARIO,0,,,232555,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,0,0,0,Total Geral,2020,2
110987,SC4203907202008,2020-08-14,SC,2020,8,82020,4203907,SEXTA-FEIRA,NOITE,COLISAO,NAO INFORMADO,RUA CARMELO ZOCOLLI,0,0,,0,,,180500,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2020,8
5908916,PE2604106202009,2020-09-16,PE,2020,9,92020,2604106,QUARTA-FEIRA,NAO INFORMADO,DESCONHECIDO,DESCONHECIDAS,PONTE IRMAO JERONIMO RIACHAO,0,0,,0,,,0,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2020,9
421200,SP3500105202101,2021-01-05,SP,2021,1,12021,3500105,TERCA-FEIRA,MANHA,CHOQUE,CLARO,RUA JOAQUIM NABUCO,236,0,RURAL,0,,,74900,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,SIM,1,0,2,2,0,Com Feridos,2021,1
5322701,PR4104808201904,2019-04-05,PR,2019,4,42019,4104808,SEXTA-FEIRA,NOITE,COLISAO TRANSVERSAL,NUBLADO,RUA PRESIDENTE BERNARDES,0,0,CENTRO,0,,,190000,MUNICIPAL,SECA,CRUZAMENTO  MESMA SUPERFICIE,ASFALTO,DESCONHECIDO,NAO INFORMADO,SIMPLES  COM CICLOVIA,DESCONHECIDO,DESCONHECIDO,SIM,1,0,2,2,0,Com Feridos,2019,4
1145297,SP3556453201908,2019-08-03,SP,2019,8,82019,3556453,SABADO,NOITE,CHOQUE,CLARO,BUNJIRO NAKAO KM 63,60,0,VILA MENDES,0,,,234900,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,1,1,0,Com Feridos,2019,8
1946171,MG3136207202302,2023-02-04,MG,2023,2,22023,3136207,SABADO,MADRUGADA,OUTROS ACIDENTES DE TRANSITO,CLARO,WILSON ALVARENGA,1430,0,ROSARIO,0,-19.8067939,-43.1753457,43642,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,SIM,NAO,1,0,2,2,0,Com Feridos,2023,2
1359335,MG3106200202405,2024-05-17,MG,2024,5,52024,3106200,SEXTA-FEIRA,MANHA,CHOQUE,NAO INFORMADO,FLEMING,513,31310490,OURO PRETO,0,-19.8694095,-43.9859602,75500,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2024,5
2393878,RO1100098202005,2020-05-31,RO,2020,5,52020,1100098,DOMINGO,NOITE,QUEDA,NAO INFORMADO,RODOVIA LUCIA TEREZA,0,0,ZONA RURAL,0,,,210000,ESTADUAL,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2020,5
2918913,SC4208203202201,2022-01-03,SC,2022,1,12022,4208203,SEGUNDA-FEIRA,MADRUGADA,QUEDA,NAO INFORMADO,RUA LAURA SANTOS LAURINDO,0,0,,0,,,12900,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2022,1
4141130,SP3550308201908,2019-08-31,SP,2019,8,82019,3550308,SABADO,NOITE,DESCONHECIDO,DESCONHECIDAS,AVENIDA CUPECE,5813,0,CIDADE ADEMAR,0,,,194309,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,1,1,0,Com Feridos,2019,8
2728358,PI2211001201806,2018-06-06,PI,2018,6,62018,2211001,QUARTA-FEIRA,NOITE,NAO INFORMADO,NAO INFORMADO,AV   RESIDENTE KENNEDY,0,0,PROMORAR,0,,,200000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,0,0,0,Total Geral,2018,6
4277565,SP3504107202006,2020-06-21,SP,2020,6,62020,3504107,DOMINGO,NOITE,COLISAO LATERAL,CLARO,BR 381,49,0,,48,,,180000,NAO INFORMADO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,1,1,0,Com Feridos,2020,6
29273,MG3115102202405,2024-05-10,MG,2024,5,52024,3115102,SEXTA-FEIRA,MADRUGADA,TOMBAMENTO,CLARO,LMG 856,0,0,,8,-20.5003281,-46.9292156,3000,ESTADUAL,SECA,MESMA SUPERFICIE  OUTROS,ASFALTO,CURVA ABERTA,NAO INFORMADO,SIMPLES  SEM CICLOVIA,NAO INFORMADO,NAO,SIM,1,0,1,1,0,Com Feridos,2024,5
2862673,BA2918407202007,2020-07-02,BA,2020,7,72020,2918407,QUINTA-FEIRA,NOITE,DESCONHECIDO,NAO INFORMADO,RUA  VERMELHA,0,0,CARNAIBA,0,,,233000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,1,1,0,1,Com Óbitos,2020,7
